,Bleaching,Threshold,num_bits_addr,accuracy
655,True,65,24,0.87
656,True,70,24,0.83
657,True,75,24,0.82
658,True,80,24,0.82
659,True,85,24,0.82
660,True,90,24,0.82
661,True,95,24,0.81
662,True,100,24,0.8
663,True,105,24,0.8
664,True,110,24,0.82
665,True,115,24,0.79
666,True,120,24,0.81
667,True,125,24,0.78
668,True,130,24,0.73
669,True,135,24,0.77
670,True,140,24,0.78
671,True,145,24,0.76
672,True,10,25,0.68
673,True,15,25,0.76
674,True,20,25,0.87
675,True,25,25,0.85
676,True,30,25,0.85
677,True,35,25,0.86
678,True,40,25,0.85
679,True,45,25,0.81
680,True,50,25,0.83
681,True,55,25,0.81
682,True,60,25,0.83
683,True,65,25,0.82
684,True,70,25,0.81
685,True,75,25,0.8
686,True,80,25,0.76
687,True,85,25,0.78
688,True,90,25,0.77
689,True,95,25,0.82
690,True,100,25,0.84
691,True,105,25,0.82
692,True,110,25,0.79
693,True,115,25,0.83
694,True,120,25,0.84
695,True,125,25,0.83
696,True,130,25,0.8
697,True,135,25,0.78
698,True,140,25,0.8
699,True,145,25,0.81
700,True,10,26,0.65
701,True,15,26,0.82
702,True,20,26,0.83
703,True,25,26,0.84
704,True,30,26,0.85
705,True,35,26,0.84
706,True,40,26,0.85
707,True,45,26,0.86
708,True,50,26,0.85
709,True,55,26,0.87
710,True,60,26,0.88
711,True,65,26,0.88
712,True,70,26,0.89
713,True,75,26,0.88
714,True,80,26,0.88
715,True,85,26,0.87
716,True,90,26,0.87
717,True,95,26,0.86
718,True,100,26,0.85
719,True,105,26,0.84
720,True,110,26,0.85
721,True,115,26,0.81
722,True,120,26,0.78
723,True,125,26,0.77
724,True,130,26,0.75
725,True,135,26,0.77
726,True,140,26,0.76
727,True,145,26,0.76
728,True,10,27,0.67
729,True,15,27,0.76
730,True,20,27,0.81
731,True,25,27,0.85
732,True,30,27,0.85
733,True,35,27,0.89
734,True,40,27,0.89
735,True,45,27,0.9
736,True,50,27,0.85
737,True,55,27,0.87
738,True,60,27,0.88
739,True,65,27,0.86
740,True,70,27,0.85
741,True,75,27,0.84
742,True,80,27,0.81
743,True,85,27,0.8
744,True,90,27,0.79
745,True,95,27,0.81
746,True,100,27,0.83
747,True,105,27,0.85
748,True,110,27,0.84
749,True,115,27,0.85
750,True,120,27,0.8
751,True,125,27,0.82
752,True,130,27,0.82
753,True,135,27,0.81
754,True,140,27,0.8
755,True,145,27,0.8
756,True,10,28,0.64
757,True,15,28,0.74
758,True,20,28,0.8
759,True,25,28,0.84
760,True,30,28,0.82
761,True,35,28,0.8
762,True,40,28,0.84
763,True,45,28,0.85
764,True,50,28,0.84
765,True,55,28,0.84
766,True,60,28,0.82
767,True,65,28,0.84
768,True,70,28,0.79
769,True,75,28,0.81
770,True,80,28,0.83
771,True,85,28,0.82
772,True,90,28,0.81
773,True,95,28,0.8
774,True,100,28,0.82
775,True,105,28,0.81
776,True,110,28,0.79
777,True,115,28,0.79
778,True,120,28,0.79
779,True,125,28,0.76
780,True,130,28,0.78
781,True,135,28,0.78
782,True,140,28,0.76
783,True,145,28,0.78
784,True,10,29,0.63
785,True,15,29,0.7
786,True,20,29,0.79
787,True,25,29,0.81
788,True,30,29,0.81
789,True,35,29,0.78
790,True,40,29,0.77
791,True,45,29,0.78
792,True,50,29,0.78
793,True,55,29,0.78
794,True,60,29,0.76
795,True,65,29,0.78
796,True,70,29,0.79
797,True,75,29,0.78
798,True,80,29,0.79
799,True,85,29,0.77
800,True,90,29,0.76
801,True,95,29,0.75
802,True,100,29,0.79
803,True,105,29,0.79
804,True,110,29,0.81
805,True,115,29,0.83
806,True,120,29,0.82
807,True,125,29,0.8
808,True,130,29,0.8
809,True,135,29,0.76
810,True,140,29,0.78
811,True,145,29,0.79
812,True,10,30,0.62
813,True,15,30,0.74
814,True,20,30,0.78
815,True,25,30,0.82
816,True,30,30,0.84
817,True,35,30,0.81
818,True,40,30,0.78
819,True,45,30,0.74
820,True,50,30,0.78
821,True,55,30,0.76
822,True,60,30,0.77
823,True,65,30,0.77
824,True,70,30,0.74
825,True,75,30,0.76
826,True,80,30,0.77
827,True,85,30,0.79
828,True,90,30,0.82
829,True,95,30,0.76
830,True,100,30,0.76
831,True,105,30,0.77
832,True,110,30,0.77
833,True,115,30,0.77
834,True,120,30,0.81
835,True,125,30,0.78
836,True,130,30,0.78
837,True,135,30,0.77
838,True,140,30,0.79
839,True,145,30,0.77
840,True,10,31,0.56
841,True,15,31,0.74
842,True,20,31,0.78
843,True,25,31,0.77
844,True,30,31,0.75
845,True,35,31,0.73
846,True,40,31,0.74
847,True,45,31,0.75
848,True,50,31,0.74
849,True,55,31,0.75
850,True,60,31,0.74
851,True,65,31,0.75
852,True,70,31,0.71
853,True,75,31,0.73
854,True,80,31,0.75
855,True,85,31,0.77
856,True,90,31,0.74
857,True,95,31,0.75
858,True,100,31,0.77
859,True,105,31,0.75
860,True,110,31,0.72
861,True,115,31,0.77
862,True,120,31,0.73
863,True,125,31,0.78
864,True,130,31,0.74
865,True,135,31,0.77
866,True,140,31,0.79
867,True,145,31,0.77
868,True,10,32,0.57
869,True,15,32,0.67
870,True,20,32,0.77
871,True,25,32,0.78
872,True,30,32,0.81
873,True,35,32,0.81
874,True,40,32,0.85
875,True,45,32,0.83
876,True,50,32,0.83
877,True,55,32,0.83
878,True,60,32,0.8
879,True,65,32,0.83
880,True,70,32,0.81
881,True,75,32,0.79
882,True,80,32,0.8
883,True,85,32,0.82
884,True,90,32,0.79
885,True,95,32,0.78
886,True,100,32,0.81
887,True,105,32,0.8
888,True,110,32,0.78
889,True,115,32,0.77
890,True,120,32,0.8
891,True,125,32,0.79
892,True,130,32,0.78
893,True,135,32,0.77
894,True,140,32,0.73
895,True,145,32,0.7
896,True,10,33,0.62
897,True,15,33,0.75
898,True,20,33,0.77
899,True,25,33,0.79
900,True,30,33,0.79
901,True,35,33,0.8
902,True,40,33,0.75
903,True,45,33,0.79
904,True,50,33,0.76
905,True,55,33,0.77
906,True,60,33,0.76
907,True,65,33,0.76
908,True,70,33,0.76
909,True,75,33,0.75
910,True,80,33,0.74
911,True,85,33,0.77
912,True,90,33,0.73
913,True,95,33,0.73
914,True,100,33,0.77
915,True,105,33,0.77
916,True,110,33,0.78
917,True,115,33,0.81
918,True,120,33,0.8
919,True,125,33,0.79
920,True,130,33,0.76
921,True,135,33,0.75
922,True,140,33,0.73
923,True,145,33,0.76
924,True,10,34,0.45
925,True,15,34,0.69
926,True,20,34,0.71
927,True,25,34,0.78
928,True,30,34,0.81
929,True,35,34,0.79
930,True,40,34,0.81
931,True,45,34,0.82
932,True,50,34,0.83
933,True,55,34,0.78
934,True,60,34,0.78
935,True,65,34,0.79
936,True,70,34,0.76
937,True,75,34,0.78
938,True,80,34,0.79
939,True,85,34,0.77
940,True,90,34,0.79
941,True,95,34,0.79
942,True,100,34,0.8
943,True,105,34,0.8
944,True,110,34,0.75
945,True,115,34,0.73
946,True,120,34,0.79
947,True,125,34,0.79
948,True,130,34,0.77
949,True,135,34,0.75
950,True,140,34,0.74
951,True,145,34,0.68
952,True,10,35,0.55
953,True,15,35,0.66
954,True,20,35,0.74
955,True,25,35,0.77
956,True,30,35,0.77
957,True,35,35,0.74
958,True,40,35,0.75
959,True,45,35,0.73
960,True,50,35,0.74
961,True,55,35,0.68
962,True,60,35,0.68
963,True,65,35,0.7
964,True,70,35,0.76
965,True,75,35,0.76
966,True,80,35,0.74
967,True,85,35,0.75
968,True,90,35,0.78
969,True,95,35,0.77
970,True,100,35,0.77
971,True,105,35,0.77
972,True,110,35,0.79
973,True,115,35,0.78
974,True,120,35,0.8
975,True,125,35,0.77
976,True,130,35,0.73
977,True,135,35,0.75
978,True,140,35,0.79
979,True,145,35,0.79
980,True,10,36,0.55
981,True,15,36,0.67
982,True,20,36,0.71
983,True,25,36,0.81
984,True,30,36,0.79
985,True,35,36,0.77
986,True,40,36,0.79
987,True,45,36,0.75
988,True,50,36,0.74
989,True,55,36,0.74
990,True,60,36,0.73
991,True,65,36,0.74
992,True,70,36,0.69
993,True,75,36,0.71
994,True,80,36,0.66
995,True,85,36,0.68
996,True,90,36,0.69
997,True,95,36,0.72
998,True,100,36,0.74
999,True,105,36,0.73
1000,True,110,36,0.69
1001,True,115,36,0.71
1002,True,120,36,0.77
1003,True,125,36,0.72
1004,True,130,36,0.75
1005,True,135,36,0.74
